d_in,run_id,MLP_width,CFN_width,N_train,N_test,GD_iterations,target_params,CNF_params,CNF_target_param_ratio,train_mse,test_mse,target_jensen_violation,CNF_jensen_violation
1,0,500,200,1000,200,200,252001,81402,0.3230225276883822,122.40986633300781,109.95218658447266,1.52587890625e-05,2.288818359375e-05
1,1,500,200,1000,200,200,252001,81402,0.3230225276883822,0.33792829513549805,0.3182348608970642,1.52587890625e-05,3.0517578125e-05
1,2,500,200,1000,200,200,252001,81402,0.3230225276883822,209.36990356445312,206.80496215820312,1.52587890625e-05,2.288818359375e-05
1,3,500,200,1000,200,200,252001,81402,0.3230225276883822,378.6413879394531,335.5436706542969,1.52587890625e-05,2.288818359375e-05
1,4,500,200,1000,200,200,252001,81402,0.3230225276883822,259.3337097167969,248.09898376464844,2.288818359375e-05,3.814697265625e-05
20,0,500,200,1000,200,200,261501,83302,0.31855327513087905,725.3314208984375,715.85986328125,-0.019134521484375,-0.0027332305908203125
20,1,500,200,1000,200,200,261501,83302,0.31855327513087905,73.73741912841797,97.43743133544922,-0.003265380859375,-0.010284423828125
20,2,500,200,1000,200,200,261501,83302,0.31855327513087905,1180.76904296875,1304.7554931640625,-0.011871337890625,-0.0052337646484375
20,3,500,200,1000,200,200,261501,83302,0.31855327513087905,52.33454895019531,64.77386474609375,-2.288818359375e-05,-0.013591766357421875
20,4,500,200,1000,200,200,261501,83302,0.31855327513087905,71.99765014648438,72.6662826538086,-0.00960540771484375,-0.0015716552734375
50,0,500,200,1000,200,200,276501,86302,0.31212183681071676,56.34971237182617,65.72974395751953,-0.00470733642578125,-0.000354766845703125
50,1,500,200,1000,200,200,276501,86302,0.31212183681071676,46.53897476196289,65.42555236816406,-0.001270294189453125,-0.007122039794921875
50,2,500,200,1000,200,200,276501,86302,0.31212183681071676,43.92491149902344,53.80324172973633,-0.007068634033203125,-0.007450103759765625
50,3,500,200,1000,200,200,276501,86302,0.31212183681071676,57.13465881347656,68.02864074707031,-0.0003662109375,-0.00856781005859375
50,4,500,200,1000,200,200,276501,86302,0.31212183681071676,44.017539978027344,56.86370086669922,-0.0133514404296875,-0.046825408935546875
100,0,500,200,1000,200,200,301501,91302,0.3028248662525166,39.273353576660156,64.16315460205078,-0.00254058837890625,-0.0222320556640625
100,1,500,200,1000,200,200,301501,91302,0.3028248662525166,39.304290771484375,78.72760772705078,-0.001461029052734375,-0.00092315673828125
100,2,500,200,1000,200,200,301501,91302,0.3028248662525166,37.14632034301758,72.36109161376953,-0.0097808837890625,-0.01305389404296875
100,3,500,200,1000,200,200,301501,91302,0.3028248662525166,40.888282775878906,53.9561767578125,-0.00142669677734375,-0.00853729248046875
100,4,500,200,1000,200,200,301501,91302,0.3028248662525166,39.06525802612305,59.06438446044922,-0.0027008056640625,-0.007648468017578125
